account_id,account_age_days,kyc_level,is_promptpay_linked,avg_inflow_velocity_sec,is_mule
ACC_0242,563,2,0,355257.06,0
ACC_0243,253,2,1,248478.88,0
ACC_0244,1518,2,0,91455.23,0
ACC_0245,1493,2,1,185856.97,0
ACC_0246,284,2,0,230583.47,0
ACC_0247,60,2,0,127249.33,0
ACC_0248,1888,2,1,402874.94,0
ACC_0249,904,2,1,25801.2,0
ACC_0250,749,2,1,238621.58,0
ACC_0251,1733,2,0,141696.39,0
ACC_0252,1725,2,1,63072.53,0
ACC_0253,388,2,0,258771.64,0
ACC_0254,1633,2,1,153055.17,0
ACC_0255,1900,2,0,323175.49,0
ACC_0256,393,2,0,428114.19,0
ACC_0257,647,2,1,400490.93,0
ACC_0258,1403,2,1,364239.45,0
ACC_0259,1923,2,0,325115.02,0
ACC_0260,1911,2,1,73971.47,0
ACC_0261,64,2,1,275102.17,0
ACC_0262,633,2,1,379392.71,0
ACC_0263,148,2,0,197214.78,0
ACC_0264,675,2,1,201812.02,0
ACC_0265,481,2,1,191558.22,0
ACC_0266,1052,2,1,388977.75,0
ACC_0267,562,2,1,32139.63,0
ACC_0268,163,2,0,53679.12,0
ACC_0269,1729,2,1,316567.25,0
ACC_0270,613,2,1,343760.39,0
ACC_0271,1752,2,1,321241.85,0
ACC_0272,982,2,0,68577.52,0
ACC_0273,1180,2,0,337140.22,0
ACC_0274,348,2,1,247740.74,0
ACC_0275,1605,2,1,326885.76,0
ACC_0276,1201,2,0,50994.64,0
ACC_0277,287,2,1,262335.55,0
ACC_0278,74,2,0,67824.63,0
ACC_0279,106,2,1,334274.24,0
ACC_0280,1494,2,0,300887.51,0
ACC_0281,1375,2,0,260224.18,0
ACC_0282,1743,2,1,392780.22,0
ACC_0283,609,2,1,185068.9,0
ACC_0284,405,2,0,69295.74,0
ACC_0285,200,2,1,46780.41,0
ACC_0286,1052,2,1,377217.88,0
ACC_0287,1543,2,1,397192.72,0
ACC_0288,1216,2,0,306581.03,0
ACC_0289,1189,2,0,164008.11,0
ACC_0290,1988,2,1,319092.71,0
ACC_0291,1379,2,0,393737.97,0
ACC_0292,1852,2,1,425505.97,0
ACC_0293,1705,2,1,362381.05,0
ACC_0294,1084,2,0,225870.22,0
ACC_0295,995,2,0,166094.56,0
ACC_0296,1392,2,1,347542.42,0
ACC_0297,176,2,0,52552.11,0
ACC_0298,303,2,1,397666.15,0
ACC_0299,445,2,1,209590.56,0
ACC_0300,406,2,1,99820.71,0
ACC_0301,935,2,0,109940.21,0
ACC_0302,84,2,1,183067.66,0
ACC_0303,1939,2,1,337964.36,0
ACC_0304,1062,2,0,9209.67,0
ACC_0305,1552,2,1,421521.9,0
ACC_0306,1444,2,1,181224.97,0
ACC_0307,535,2,1,82623.89,0
ACC_0308,386,2,1,32335.56,0
ACC_0309,274,2,1,346226.62,0
ACC_0310,1401,2,1,85290.62,0
ACC_0311,488,2,1,361984.37,0
ACC_0312,1102,2,1,335836.03,0
ACC_0313,1258,2,1,232560.9,0
ACC_0314,1196,2,1,243349.92,0
ACC_0315,890,2,1,146841.03,0
ACC_0316,114,2,0,163525.71,0
ACC_0317,1541,2,0,229186.22,0
ACC_0318,146,2,0,363365.55,0
ACC_0319,1474,2,0,15207.92,0
ACC_0320,818,2,1,87614.85,0
ACC_0321,1850,2,1,48200.12,0
ACC_0322,1322,2,1,383788.07,0
ACC_0323,1687,2,1,46200.69,0
ACC_0324,155,2,0,262009.77,0
ACC_0325,873,2,0,173753.42,0
ACC_0326,224,2,1,177698.46,0
ACC_0327,882,2,0,9170.02,0
ACC_0328,834,2,0,366938.08,0
ACC_0329,1707,2,1,253375.0,0
ACC_0330,759,2,0,393711.32,0
ACC_0331,768,2,1,114737.0,0
ACC_0332,1469,2,1,18263.32,0
ACC_0333,1615,2,0,178991.95,0
ACC_0334,1817,2,1,372481.54,0
ACC_0335,1950,2,0,330728.72,0
ACC_0336,1363,2,1,245978.7,0
ACC_0337,118,2,0,346257.99,0
ACC_0338,780,2,1,223136.86,0
ACC_0339,580,2,1,274982.07,0
ACC_0340,1442,2,1,279941.21,0
ACC_0341,553,2,0,228805.67,0
ACC_0342,1192,2,0,296275.96,0
ACC_0343,897,2,0,54044.56,0
ACC_0344,1439,2,1,32377.94,0
ACC_0345,1760,2,0,359061.39,0
ACC_0346,1682,2,1,63583.94,0
ACC_0347,86,2,0,377974.51,0
ACC_0348,227,2,1,274819.21,0
ACC_0349,880,2,1,395334.08,0
ACC_0350,981,2,1,333858.43,0
ACC_0351,1641,2,1,74835.8,0
ACC_0352,1446,2,1,42300.35,0
ACC_0353,1454,2,1,170374.24,0
ACC_0354,1379,2,1,395806.06,0
ACC_0355,246,2,1,246247.75,0
ACC_0356,157,2,1,412330.84,0
ACC_0357,465,2,0,95680.46,0
ACC_0358,1631,2,1,73006.75,0
ACC_0359,1327,2,1,216243.3,0
ACC_0360,424,2,1,270635.66,0
ACC_0361,1533,2,1,35789.03,0
ACC_0362,1100,2,1,305590.11,0
ACC_0363,1699,2,1,109158.63,0
ACC_0364,190,2,1,4602.19,0
ACC_0365,1518,2,1,256454.82,0
ACC_0366,334,2,1,349503.12,0
ACC_0367,876,2,1,410681.68,0
ACC_0368,1906,2,1,40744.51,0
ACC_0369,1675,2,0,317285.14,0
ACC_0370,720,2,0,313805.87,0
ACC_0371,1035,2,0,110557.77,0
ACC_0372,1172,2,0,300556.26,0
ACC_0373,548,2,0,20490.45,0
ACC_0374,837,2,1,431723.04,0
ACC_0375,1877,2,1,395795.19,0
ACC_0376,1865,2,1,316770.54,0
ACC_0377,942,2,0,419601.35,0
ACC_0378,786,2,0,322785.65,0
ACC_0379,431,2,0,140302.64,0
ACC_0380,1573,2,0,282131.69,0
ACC_0381,1235,2,1,55250.85,0
ACC_0382,1181,2,0,230765.58,0
ACC_0383,1045,2,0,31598.66,0
ACC_0384,1610,2,0,234251.2,0
ACC_0385,1041,2,1,271731.87,0
ACC_0386,75,2,1,379163.45,0
ACC_0387,1533,2,1,376350.36,0
ACC_0388,473,2,1,83056.59,0
ACC_0389,1357,2,0,345798.74,0
ACC_0390,1122,2,1,26169.76,0
ACC_0391,536,2,1,209138.32,0
ACC_0392,331,2,0,425181.36,0
ACC_0393,325,2,1,147701.11,0
ACC_0394,399,2,0,105892.13,0
ACC_0395,62,2,1,130836.03,0
ACC_0396,383,2,0,255974.1,0
ACC_0397,491,2,1,426740.27,0
ACC_0398,644,2,1,171374.35,0
ACC_0399,1023,2,1,410563.37,0
ACC_0400,120,2,1,255736.63,0
ACC_0401,866,2,0,408323.2,0
ACC_0402,70,2,0,427366.82,0
ACC_0403,1794,2,0,102848.16,0
ACC_0404,1743,2,0,102375.84,0
ACC_0405,1326,2,1,102418.95,0
ACC_0406,285,2,1,19335.96,0
ACC_0407,565,2,0,153593.66,0
ACC_0408,1856,2,0,96273.21,0
ACC_0409,1604,2,0,429818.51,0
ACC_0410,1656,2,1,224332.21,0
ACC_0411,909,2,0,69529.01,0
ACC_0412,219,2,1,270466.37,0
ACC_0413,952,2,1,257615.47,0
ACC_0414,1993,2,0,199563.91,0
ACC_0415,1011,2,1,59084.19,0
ACC_0416,1732,2,1,368679.71,0
ACC_0417,229,2,0,284305.66,0
ACC_0418,1344,2,0,124147.89,0
ACC_0419,1207,2,1,114878.52,0
ACC_0420,1984,2,1,231766.92,0
ACC_0421,96,2,1,296308.05,0
ACC_0422,1032,2,0,215720.77,0
ACC_0423,283,2,1,391950.48,0
ACC_0424,1406,2,1,294062.12,0
ACC_0425,1942,2,0,318007.01,0
ACC_0426,275,2,0,285680.77,0
ACC_0427,412,2,1,72315.41,0
ACC_0428,840,2,0,302396.77,0
ACC_0429,1253,2,1,303047.63,0
ACC_0430,759,2,1,380965.03,0
ACC_0431,885,2,1,380194.22,0
ACC_0432,485,2,1,147164.92,0
ACC_0433,1753,2,0,4079.86,0
ACC_0434,1341,2,0,220999.18,0
ACC_0435,354,2,1,39627.68,0
ACC_0436,1750,2,0,274268.91,0
ACC_0437,1306,2,1,7486.62,0
ACC_0438,424,2,0,49430.51,0
ACC_0439,473,2,1,188771.95,0
ACC_0440,1053,2,1,274615.22,0
ACC_0441,1305,2,0,341524.91,0
ACC_0442,975,2,0,32661.4,0
ACC_0443,790,2,1,333889.67,0
ACC_0444,460,2,1,151776.3,0
ACC_0445,533,2,1,368774.44,0
ACC_0446,1353,2,0,418667.27,0
ACC_0447,1759,2,0,258239.19,0
ACC_0448,519,2,1,13077.73,0
ACC_0449,1729,2,1,354367.77,0
ACC_0450,518,2,0,194624.72,0
ACC_0451,1513,2,1,408139.68,0
ACC_0452,1182,2,1,73696.44,0
ACC_0453,946,2,0,131423.61,0
ACC_0454,1883,2,1,295125.9,0
ACC_0455,1105,2,1,375474.47,0
ACC_0456,1465,2,1,188812.23,0
ACC_0457,80,2,0,370893.06,0
ACC_0458,143,2,1,121073.79,0
ACC_0459,1470,2,1,141006.19,0
ACC_0460,993,2,1,94894.06,0
ACC_0461,1915,2,0,309873.46,0
ACC_0462,1869,2,0,206323.12,0
ACC_0463,1667,2,1,90865.62,0
ACC_0464,1688,2,0,333862.92,0
ACC_0465,1769,2,1,11252.03,0
ACC_0466,408,2,1,17534.22,0
ACC_0467,1911,2,0,83050.58,0
ACC_0468,586,2,1,53854.83,0
ACC_0469,1356,2,0,109646.12,0
ACC_0470,580,2,1,214199.1,0
ACC_0471,1914,2,0,143226.47,0
ACC_0472,445,2,0,136559.06,0
ACC_0473,1800,2,1,202634.04,0
ACC_0474,1403,2,1,421161.42,0
ACC_0475,225,2,1,301330.24,0
ACC_0476,860,2,0,392509.51,0
ACC_0477,838,2,1,48552.09,0
ACC_0478,460,2,1,248175.49,0
ACC_0479,1546,2,1,268417.92,0
ACC_0480,1743,2,1,335954.75,0
ACC_0481,301,2,1,225387.67,0
ACC_0482,860,2,0,38946.66,0
ACC_0483,648,2,1,173641.93,0
ACC_0484,253,2,0,89648.03,0
ACC_0485,181,2,0,89344.36,0
ACC_0486,946,2,0,411244.01,0
ACC_0487,376,2,0,17131.5,0
ACC_0488,833,2,0,266185.28,0
ACC_0489,612,2,0,376723.17,0
ACC_0490,1773,2,0,339218.3,0
ACC_0491,170,2,0,37921.2,0
ACC_0492,1167,2,1,259558.66,0
ACC_0493,81,2,1,279308.68,0
ACC_0494,868,2,1,191499.33,0
ACC_0495,1037,2,1,109459.03,0
ACC_0496,968,2,1,267383.88,0
ACC_0497,1230,2,0,147926.16,0
ACC_0498,1987,2,0,189377.95,0
ACC_0499,347,2,1,241517.75,0
ACC_0500,973,2,0,145963.59,0
ACC_0501,371,2,0,282199.52,0
ACC_0502,1797,2,1,98088.39,0
ACC_0503,1290,2,1,201787.67,0
ACC_0504,921,2,0,181774.72,0
ACC_0505,83,2,1,151798.55,0
ACC_0506,1447,2,0,219875.55,0
ACC_0507,1645,2,0,251504.55,0
ACC_0508,479,2,1,173038.7,0
ACC_0509,1823,2,0,389460.68,0
ACC_0510,1857,2,0,428629.91,0
ACC_0511,245,2,0,93847.68,0
ACC_0512,1320,2,1,361741.57,0
ACC_0513,1820,2,1,310259.41,0
ACC_0514,811,2,0,274580.36,0
ACC_0515,585,2,0,81130.53,0
ACC_0516,896,2,1,190881.65,0
ACC_0517,1585,2,0,194368.77,0
ACC_0518,563,2,1,287466.96,0
ACC_0519,1826,2,1,171139.33,0
ACC_0520,87,2,1,284945.99,0
ACC_0521,1532,2,0,59666.28,0
ACC_0522,360,2,1,104134.36,0
ACC_0523,1093,2,1,76324.29,0
ACC_0524,1688,2,1,358693.63,0
ACC_0525,1340,2,1,255449.66,0
ACC_0526,1031,2,0,75160.75,0
ACC_0527,1367,2,1,319074.62,0
ACC_0528,1287,2,1,365242.62,0
ACC_0529,1639,2,1,373830.21,0
ACC_0530,1985,2,1,51546.36,0
ACC_0531,1965,2,0,56280.69,0
ACC_0532,1376,2,0,20454.77,0
ACC_0533,178,2,1,80716.47,0
ACC_0534,1142,2,1,220899.39,0
ACC_0535,1289,2,0,173837.16,0
ACC_0536,301,2,0,5716.29,0
ACC_0537,276,2,0,375416.2,0
ACC_0538,1306,2,1,227109.15,0
ACC_0539,978,2,0,63426.6,0
ACC_0540,443,2,1,65093.55,0
ACC_0541,805,2,0,73164.4,0
ACC_0542,1424,2,1,291742.75,0
ACC_0543,1435,2,1,416297.78,0
ACC_0544,1258,2,0,362648.59,0
ACC_0545,1301,2,1,11103.85,0
ACC_0546,1228,2,0,373998.43,0
ACC_0547,1964,2,1,402418.42,0
ACC_0548,873,2,0,260901.13,0
ACC_0549,1370,2,0,172331.51,0
ACC_0550,1152,2,1,152928.96,0
ACC_0551,1069,2,0,139878.99,0
ACC_0552,1244,2,1,376630.78,0
ACC_0553,644,2,1,127272.91,0
ACC_0554,1030,2,0,176733.71,0
ACC_0555,553,2,0,191313.03,0
ACC_0556,1565,2,0,345383.37,0
ACC_0557,910,2,0,164537.99,0
ACC_0558,881,2,0,144278.52,0
ACC_0559,1148,2,1,173320.38,0
ACC_0560,976,2,1,238577.28,0
ACC_0561,1500,2,1,163501.07,0
ACC_0562,161,2,1,262117.38,0
ACC_0563,1705,2,0,328903.11,0
ACC_0564,1860,2,1,373452.14,0
ACC_0565,875,2,0,395258.92,0
ACC_0566,1304,2,1,166475.8,0
ACC_0567,363,2,1,232195.33,0
ACC_0568,842,2,1,238969.06,0
ACC_0569,1897,2,0,412946.35,0
ACC_0570,1064,2,0,188181.32,0
ACC_0571,395,2,0,388316.29,0
ACC_0572,852,2,0,166423.92,0
ACC_0573,383,2,0,154235.16,0
ACC_0574,1885,2,1,268073.49,0
ACC_0575,432,2,1,135243.02,0
ACC_0576,810,2,1,252471.29,0
ACC_0577,165,2,0,310398.95,0
ACC_0578,648,2,1,55816.0,0
ACC_0579,1542,2,1,371773.73,0
ACC_0580,1122,2,1,307355.42,0
ACC_0581,371,2,0,82951.87,0
ACC_0582,1011,2,0,210750.96,0
ACC_0583,1858,2,0,163611.55,0
ACC_0584,1768,2,0,411181.19,0
ACC_0585,946,2,0,224301.04,0
ACC_0586,1303,2,1,94440.01,0
ACC_0587,69,2,1,158154.95,0
ACC_0588,741,2,0,155005.72,0
ACC_0589,1237,2,1,133002.72,0
ACC_0590,723,2,0,185129.47,0
ACC_0591,1285,2,0,332035.49,0
ACC_0592,1052,2,1,69138.26,0
ACC_0593,1644,2,0,373222.27,0
ACC_0594,690,2,1,80046.25,0
ACC_0595,864,2,0,263679.09,0
ACC_0596,1243,2,0,113649.04,0
ACC_0597,1160,2,1,216414.92,0
ACC_0598,829,2,1,259374.9,0
ACC_0599,1741,2,1,187040.72,0
ACC_0600,1250,2,0,10377.76,0
ACC_0601,1363,2,1,48200.57,0
ACC_0602,1301,2,1,391526.82,0
ACC_0603,680,2,1,40295.99,0
ACC_0604,412,2,1,175468.9,0
ACC_0605,1436,2,1,155680.42,0
ACC_0606,767,2,1,359970.16,0
ACC_0607,1015,2,0,103722.26,0
ACC_0608,208,2,1,257560.66,0
ACC_0609,126,2,1,142544.58,0
ACC_0610,1342,2,1,26021.97,0
ACC_0611,1255,2,0,242554.42,0
ACC_0612,413,2,1,146501.19,0
ACC_0613,721,2,1,413846.67,0
ACC_0614,1928,2,0,326972.52,0
ACC_0615,370,2,1,45016.19,0
ACC_0616,692,2,0,4129.79,0
ACC_0617,1483,2,0,344370.76,0
ACC_0618,1739,2,1,54934.74,0
ACC_0619,686,2,1,428779.93,0
ACC_0620,1955,2,0,107982.54,0
ACC_0621,345,2,1,270744.11,0
ACC_0622,1037,2,0,374031.56,0
ACC_0623,1072,2,0,338620.83,0
ACC_0624,797,2,1,54000.84,0
ACC_0625,1746,2,1,157882.44,0
ACC_0626,400,2,1,106011.3,0
ACC_0627,508,2,1,173666.88,0
ACC_0628,1490,2,0,377737.43,0
ACC_0629,321,2,0,216499.16,0
ACC_0630,401,2,1,171122.72,0
ACC_0631,71,2,0,53451.36,0
ACC_0632,653,2,0,292471.75,0
ACC_0633,1753,2,0,64123.52,0
ACC_0634,1090,2,1,38265.82,0
ACC_0635,1488,2,1,69484.13,0
ACC_0636,990,2,1,421551.41,0
ACC_0637,1851,2,0,249999.98,0
ACC_0638,312,2,0,398909.18,0
ACC_0639,1865,2,1,388415.28,0
ACC_0640,297,2,1,218899.31,0
ACC_0641,961,2,1,161051.75,0
ACC_0642,1475,2,1,220416.48,0
ACC_0643,1162,2,0,239018.45,0
ACC_0644,1883,2,1,258194.16,0
ACC_0645,602,2,1,191886.81,0
ACC_0646,1911,2,0,3742.45,0
ACC_0647,102,2,0,282146.15,0
ACC_0648,526,2,1,245406.56,0
ACC_0649,837,2,1,211203.32,0
ACC_0650,749,2,1,301353.09,0
ACC_0651,516,2,1,76712.78,0
ACC_0652,208,2,1,133523.07,0
ACC_0653,942,2,1,299889.18,0
ACC_0654,668,2,1,430584.93,0
ACC_0655,844,2,1,98191.85,0
ACC_0656,1304,2,0,229384.56,0
ACC_0657,1314,2,0,342932.91,0
ACC_0658,1786,2,1,86976.28,0
ACC_0659,578,2,1,209932.37,0
ACC_0660,514,2,0,333170.22,0
ACC_0661,569,2,1,60921.52,0
ACC_0662,464,2,1,114903.98,0
ACC_0663,709,2,0,84865.27,0
ACC_0664,960,2,1,8792.54,0
ACC_0665,301,2,0,88790.03,0
ACC_0666,232,2,1,162711.43,0
ACC_0667,556,2,1,198255.25,0
ACC_0668,367,2,1,67533.46,0
ACC_0669,569,2,1,142691.17,0
ACC_0670,1847,2,0,350897.85,0
ACC_0671,1816,2,1,200427.0,0
ACC_0672,80,2,0,60639.32,0
ACC_0673,251,2,0,138720.31,0
ACC_0674,188,2,0,36336.98,0
ACC_0675,1180,2,0,20061.85,0
ACC_0676,291,2,1,276577.11,0
ACC_0677,861,2,1,196433.31,0
ACC_0678,1004,2,0,32153.73,0
ACC_0679,915,2,0,48879.09,0
ACC_0680,999,2,1,295009.58,0
ACC_0681,904,2,1,323275.19,0
